trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl
135,2025-04-18 04:45:00,0.636811,short,1.000000,34.347494,False,0.637811,10.000000,0.635856,0.634900,0.633627,2025-04-20 18:00:00,0.638008,stop_loss,0,61.250000,-1196.657486
136,2025-04-20 20:00:00,0.639576,long,1.000000,49.847599,False,0.638576,10.000000,0.640536,0.641495,0.642774,2025-04-20 20:45:00,0.638394,stop_loss,0,0.750000,-1182.859107
137,2025-04-20 21:45:00,0.639228,long,1.000000,34.481284,False,0.638228,10.000000,0.640187,0.641146,0.642424,2025-04-20 23:45:00,0.642424,take_profit_3,3,2.000000,1757.876552
138,2025-04-21 00:00:00,0.641447,long,1.000000,51.091831,False,0.640447,10.000000,0.642410,0.643372,0.644655,2025-04-21 04:15:00,0.642410,tp1_pullback,2,4.250000,1202.713878
139,2025-04-21 04:30:00,0.643168,long,1.000000,39.626281,False,0.642168,10.000000,0.644132,0.645097,0.646383,2025-04-21 06:15:00,0.642097,stop_loss,0,1.750000,-1070.502509
140,2025-04-21 07:00:00,0.641900,long,1.000000,24.179754,False,0.640900,10.000000,0.642863,0.643826,0.645109,2025-04-21 11:15:00,0.640892,stop_loss,1,4.250000,-22.505697
141,2025-04-22 04:45:00,0.640775,short,1.000000,49.282666,False,0.641775,10.000000,0.639814,0.638853,0.637572,2025-04-22 12:00:00,0.639814,tp1_pullback,2,7.250000,1201.453846
142,2025-04-22 12:15:00,0.640191,short,1.000000,19.640706,False,0.641191,10.000000,0.639231,0.638270,0.636990,2025-04-22 15:15:00,0.636990,take_profit_3,3,3.000000,1760.524845
143,2025-04-22 15:30:00,0.636769,short,1.000000,49.917014,False,0.637769,10.000000,0.635814,0.634859,0.633585,2025-04-22 17:30:00,0.637960,stop_loss,0,2.000000,-1191.550876
144,2025-04-22 17:45:00,0.636768,short,1.000000,22.524294,False,0.637768,10.000000,0.635813,0.634858,0.633584,2025-04-22 18:15:00,0.636676,trailing_stop,1,0.500000,523.679835
145,2025-04-22 18:30:00,0.636176,short,1.000000,40.005234,False,0.637176,10.000000,0.635222,0.634268,0.632995,2025-04-22 19:00:00,0.637318,stop_loss,0,0.500000,-1141.644519
146,2025-04-22 20:30:00,0.638652,short,1.000000,16.660636,False,0.639652,10.000000,0.637694,0.636736,0.635459,2025-04-22 21:00:00,0.639744,stop_loss,0,0.500000,-1092.433044
147,2025-04-22 21:15:00,0.640173,short,1.000000,44.672688,False,0.641173,10.000000,0.639213,0.638252,0.636972,2025-04-22 23:45:00,0.639213,tp1_pullback,2,2.500000,1200.323961
148,2025-04-23 02:30:00,0.642135,long,1.000000,31.460181,False,0.641135,10.000000,0.643099,0.644062,0.645346,2025-04-23 03:15:00,0.640983,stop_loss,0,0.750000,-1152.431580
149,2025-04-23 03:30:00,0.641015,long,1.000000,34.457592,False,0.640015,10.000000,0.641976,0.642938,0.644220,2025-04-23 09:45:00,0.641976,tp1_pullback,2,6.250000,1201.902897
150,2025-04-23 12:15:00,0.636547,short,1.000000,43.140727,False,0.637547,10.000000,0.635592,0.634638,0.633364,2025-04-24 02:00:00,0.635592,tp1_pullback,2,13.750000,1193.526042
151,2025-04-24 03:45:00,0.638400,long,1.000000,30.208048,False,0.637400,10.000000,0.639358,0.640315,0.641592,2025-04-24 10:45:00,0.639358,tp1_pullback,2,7.000000,1196.999848
152,2025-04-25 12:00:00,0.639328,short,1.000000,26.002175,False,0.640328,10.000000,0.638369,0.637410,0.636131,2025-04-25 13:15:00,0.640446,stop_loss,0,1.250000,-1117.962615
153,2025-04-25 14:30:00,0.640186,long,1.000000,40.904755,False,0.639186,10.000000,0.641146,0.642107,0.643387,2025-04-25 16:45:00,0.639140,stop_loss,0,2.250000,-1046.488326
154,2025-04-27 17:30:00,0.640367,long,1.000000,27.469361,False,0.639367,10.000000,0.641327,0.642288,0.643569,2025-04-27 18:30:00,0.639215,stop_loss,0,1.000000,-1151.584887
155,2025-04-28 04:00:00,0.637251,short,1.000000,46.274931,False,0.638251,10.000000,0.636295,0.635339,0.634064,2025-04-28 05:00:00,0.638413,stop_loss,0,1.000000,-1161.988339
156,2025-04-28 10:15:00,0.641577,long,1.000000,37.567918,False,0.640577,10.000000,0.642539,0.643501,0.644785,2025-04-28 22:00:00,0.644785,take_profit_3,3,11.750000,1764.335791
157,2025-04-28 22:15:00,0.643706,long,1.000000,31.686601,False,0.642706,10.000000,0.644671,0.645637,0.646924,2025-04-28 22:45:00,0.642517,stop_loss,0,0.500000,-1188.220751
158,2025-04-29 07:30:00,0.640070,short,1.000000,51.285003,False,0.641070,10.000000,0.639110,0.638150,0.636870,2025-04-29 08:30:00,0.641093,stop_loss,0,1.000000,-1022.496457
159,2025-04-29 09:45:00,0.639123,short,1.000000,38.009473,False,0.640123,10.000000,0.638165,0.637206,0.635928,2025-04-29 21:30:00,0.640126,stop_loss,1,11.750000,-21.925101
160,2025-04-29 21:45:00,0.639651,short,1.000000,33.253206,False,0.640651,10.000000,0.638691,0.637732,0.636453,2025-04-30 00:00:00,0.640701,stop_loss,0,2.250000,-1049.830602
161,2025-04-30 00:15:00,0.640889,long,1.000000,36.676610,False,0.639889,10.000000,0.641851,0.642812,0.644094,2025-04-30 03:15:00,0.639712,stop_loss,0,3.000000,-1177.349493
162,2025-04-30 03:30:00,0.639354,long,1.000000,20.566258,False,0.639503,1.495042,0.640313,0.641272,0.642550,2025-04-30 03:45:00,0.639314,stop_loss,0,0.250000,-39.573664
163,2025-04-30 04:00:00,0.639230,long,1.000000,22.841308,False,0.639534,3.045863,0.640189,0.641148,0.642426,2025-04-30 04:15:00,0.639364,stop_loss,0,0.250000,133.956416
164,2025-04-30 04:30:00,0.639040,long,1.000000,51.358510,False,0.639530,4.904420,0.639998,0.640957,0.642235,2025-04-30 04:45:00,0.639348,stop_loss,0,0.250000,308.693869
165,2025-04-30 05:00:00,0.639623,short,1.000000,46.961725,False,0.640623,10.000000,0.638663,0.637704,0.636424,2025-04-30 09:30:00,0.636424,take_profit_3,3,4.500000,1758.962047
166,2025-04-30 09:45:00,0.635794,short,1.000000,58.978147,False,0.636794,10.000000,0.634840,0.633886,0.632615,2025-04-30 10:00:00,0.636834,stop_loss,0,0.250000,-1040.077741
167,2025-04-30 10:15:00,0.637494,short,1.000000,57.271140,False,0.638494,10.000000,0.636538,0.635582,0.634307,2025-04-30 10:30:00,0.638543,stop_loss,0,0.250000,-1048.745370
168,2025-04-30 10:45:00,0.639601,short,1.000000,23.590664,False,0.640601,10.000000,0.638641,0.637682,0.636403,2025-04-30 14:00:00,0.640798,stop_loss,0,3.250000,-1196.746153
169,2025-04-30 19:15:00,0.640940,long,1.000000,35.541880,False,0.639940,10.000000,0.641901,0.642863,0.644145,2025-05-01 00:15:00,0.639830,stop_loss,1,5.000000,-74.541099
170,2025-05-01 01:30:00,0.639324,short,1.000000,34.770325,False,0.640324,10.000000,0.638365,0.637406,0.636127,2025-05-01 06:15:00,0.638365,tp1_pullback,2,4.750000,1198.731772
171,2025-05-01 20:45:00,0.640587,long,1.000000,33.214875,False,0.639587,10.000000,0.641548,0.642509,0.643790,2025-05-02 05:30:00,0.643790,take_profit_3,3,8.750000,1761.613762
172,2025-05-02 06:00:00,0.643889,long,1.000000,32.532427,False,0.642889,10.000000,0.644855,0.645821,0.647109,2025-05-02 06:45:00,0.642846,stop_loss,0,0.750000,-1043.489885
