trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
64,2023-08-04 10:00:00,0.658103,long,1.000000,57.986578,False,Standard (NTI+MB+IC),0.657603,5.000000,0.658695,0.659287,0.660077,2023-08-04 10:15:00,0.658695,take_profit_1,1,0.250000,637.700787,PPT,0.700000,460.013020,TP1,0.300000,177.687766,637.700787,5.922926,637.700787
65,2023-08-04 10:30:00,0.659400,long,1.000000,51.318832,False,Standard (NTI+MB+IC),0.658900,5.000000,0.659994,0.660587,0.661379,2023-08-04 10:45:00,0.658747,stop_loss,0,0.250000,-653.136105,,,,,,,,-6.531361,-653.136105
66,2023-08-04 11:00:00,0.659118,long,1.000000,43.348280,False,Standard (NTI+MB+IC),0.658618,5.000000,0.659711,0.660305,0.661096,2023-08-04 11:30:00,0.659711,take_profit_1,1,0.500000,487.204870,PPT,0.700000,309.242950,TP1,0.300000,177.961921,487.204870,5.932064,487.204870
67,2023-08-04 11:45:00,0.660372,long,1.000000,42.697232,False,Standard (NTI+MB+IC),0.659872,5.000000,0.660967,0.661561,0.662354,2023-08-04 13:45:00,0.659697,stop_loss,0,2.000000,-92.467971,PPT,0.700000,110.291270,,,,110.291270,-6.758641,-92.467971
68,2023-08-04 14:00:00,0.659034,long,1.000000,14.218956,False,Standard (NTI+MB+IC),0.658534,5.000000,0.659627,0.660220,0.661011,2023-08-04 14:15:00,0.658459,stop_loss,0,0.250000,-574.572416,,,,,,,,-5.745724,-574.572416
69,2023-08-04 14:30:00,0.657281,long,1.000000,16.589636,False,Standard (NTI+MB+IC),0.657348,0.667904,0.657873,0.658464,0.659253,2023-08-04 14:45:00,0.657246,stop_loss,0,0.250000,-35.523082,,,,,,,,-0.355231,-35.523082
70,2023-08-04 15:00:00,0.657389,long,1.000000,19.420273,False,Standard (NTI+MB+IC),0.657422,0.327833,0.657981,0.658572,0.659361,2023-08-04 15:15:00,0.657282,stop_loss,0,0.250000,-107.171664,,,,,,,,-1.071717,-107.171664
71,2023-08-04 15:30:00,0.656621,long,1.000000,22.237513,False,Standard (NTI+MB+IC),0.657449,8.286450,0.657212,0.657802,0.658590,2023-08-04 15:45:00,0.657324,stop_loss,0,0.250000,703.183575,,,,,,,,7.031836,703.183575
72,2023-08-04 16:15:00,0.656653,short,1.000000,50.807576,False,Standard (NTI+MB+IC),0.657153,5.000000,0.656062,0.655471,0.654683,2023-08-06 17:00:00,0.657326,stop_loss,0,48.750000,-672.859071,,,,,,,,-6.728591,-672.859071
73,2023-08-06 17:15:00,0.656917,short,1.000000,52.307154,False,Standard (NTI+MB+IC),0.657417,5.000000,0.656326,0.655734,0.654946,2023-08-06 20:00:00,0.657506,stop_loss,0,2.750000,-588.794969,,,,,,,,-5.887950,-588.794969
