trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
368,2023-03-15 14:30:00,0.661513,short,1.000000,23.666114,False,Standard (NTI+MB+IC),0.662513,10.000000,0.660521,0.659529,0.658206,2023-03-15 19:15:00,0.662562,stop_loss,0,4.750000,-1048.933439,,,,,,,,-10.489334,-1048.933439,,,
369,2023-03-15 19:30:00,0.663104,short,1.000000,12.027801,False,Standard (NTI+MB+IC),0.664104,10.000000,0.662109,0.661115,0.659788,2023-03-16 00:15:00,0.664108,stop_loss,1,4.750000,436.051856,PPT,0.500000,271.912615,TP1,0.333333,331.551913,603.464528,-10.044760,436.051856,,,
370,2023-03-16 03:00:00,0.665639,long,1.000000,43.111306,False,Standard (NTI+MB+IC),0.664639,10.000000,0.666637,0.667636,0.668967,2023-03-16 04:15:00,0.664461,stop_loss,0,1.250000,-1177.588691,,,,,,,,-11.775887,-1177.588691,,,
371,2023-03-16 20:15:00,0.668660,long,1.000000,21.138295,False,Standard (NTI+MB+IC),0.667660,10.000000,0.669663,0.670666,0.672004,2023-03-16 22:15:00,0.670666,take_profit_2,2,2.000000,1078.465806,PPT,0.500000,409.805417,TP1,0.333333,334.330195,1078.465806,20.059812,1078.465806,TP2,0.166667,334.330195
372,2023-03-16 22:30:00,0.670901,long,1.000000,59.260658,False,Standard (NTI+MB+IC),0.669901,10.000000,0.671908,0.672914,0.674256,2023-03-17 05:00:00,0.669859,stop_loss,1,6.500000,426.111949,PPT,0.500000,264.378199,TP1,0.333333,335.450622,599.828821,-10.423012,426.111949,,,
373,2023-03-17 05:15:00,0.669774,long,1.000000,14.322283,False,Standard (NTI+MB+IC),0.668774,10.000000,0.670779,0.671783,0.673123,2023-03-17 07:15:00,0.668611,stop_loss,0,2.000000,-1162.792188,,,,,,,,-11.627922,-1162.792188,,,
374,2023-03-17 07:30:00,0.668811,long,1.000000,16.435200,False,Standard (NTI+MB+IC),0.668738,0.732714,0.669815,0.670818,0.672155,2023-03-17 13:00:00,0.670818,take_profit_2,2,5.500000,723.117456,PPT,0.500000,54.306068,TP1,0.333333,334.405694,723.117456,20.064342,723.117456,TP2,0.166667,334.405694
375,2023-03-20 01:45:00,0.667593,short,1.000000,35.701879,False,Standard (NTI+MB+IC),0.668593,10.000000,0.666591,0.665590,0.664255,2023-03-20 02:45:00,0.668736,stop_loss,0,1.000000,-1142.919824,,,,,,,,-11.429198,-1142.919824,,,
376,2023-03-20 10:00:00,0.671432,long,1.000000,40.913967,False,Standard (NTI+MB+IC),0.670432,10.000000,0.672439,0.673447,0.674789,2023-03-20 19:45:00,0.670398,stop_loss,1,9.750000,652.252325,PPT,0.500000,488.879170,TP1,0.333333,335.716121,824.595291,-10.340578,652.252325,,,
377,2023-03-21 11:30:00,0.665304,short,1.000000,37.024490,False,Standard (NTI+MB+IC),0.666304,10.000000,0.664306,0.663308,0.661978,2023-03-21 13:45:00,0.666324,stop_loss,0,2.250000,-1019.886363,,,,,,,,-10.198864,-1019.886363,,,
